x,f1,f2,f3,method
"[0.7643244705728942, 0.12151506923111649, 0.46979912071742097, 0.3690711573669204, 0.5075136707009569]",0.3616629670792151,0.06988333740975944,0.9491396329539757,nsga_ii
"[0.41885590511362353, 0.6981572279263055, 0.48272932827055737, 0.47150681492054314, 0.5111717362626551]",0.36170772737982587,0.7048401606944606,0.6122411973186743,nsga_ii
"[0.5905467066155201, 0.5878312154872789, 0.5002437501261657, 0.49651080698899963, 0.5181634317339523]",0.3618475036100387,0.47853164765385126,0.8004737670006268,nsga_ii
"[0.4204009170831908, 0.6891421846640198, 0.47887454756564707, 0.5810664606600022, 0.502084537100158]",0.3730983238232991,0.702369919366231,0.617712112076066,nsga_ii
"[0.5311831753295516, 0.6223312493912292, 0.5308106431978364, 0.47185074691575346, 0.4588901366805806]",0.37676765735411283,0.5587874256138715,0.7434231069744485,nsga_ii
"[0.6879237345453578, 0.41403193149798967, 0.5390515813148123, 0.4340985933912278, 0.4438369990785852]",0.37808203254840006,0.28763435467635873,0.8901946218564204,nsga_ii
"[0.46391535295008035, 0.6634907582373247, 0.5621451284987092, 0.5323216173436464, 0.45940724115524745]",0.3786993101431997,0.6484342445881979,0.6702773874502549,nsga_ii
"[0.588265938429393, 0.5692361536033993, 0.5319255316813479, 0.5010801838013933, 0.4285043610560536]",0.3796466782792962,0.4727130371106892,0.8029398804139706,nsga_ii
"[0.5211759660809989, 0.6130379772309124, 0.5176161060860646, 0.5013094656472432, 0.4100064834144819]",0.3934530763723322,0.5655447292109272,0.7363737696404717,nsga_ii
"[0.42842617925471965, 0.6624724847346379, 0.5510119310215523, 0.5265143550813327, 0.5023405263007121]",0.3967491185613279,0.6768519865904056,0.6253750061647203,nsga_ii
"[0.620772700335159, 0.4969342568774708, 0.4677957791200156, 0.515638415591612, 0.433458487160447]",0.4009248634381813,0.39708190601942034,0.8324882588844851,nsga_ii
"[0.5650429462317001, 0.5530151949119216, 0.4172976509350773, 0.49451447366430096, 0.4989967162800671]",0.4105200028546839,0.48529269388960206,0.7808668825827793,nsga_ii
"[0.49542871920522696, 0.6018144758171021, 0.572675235539258, 0.4857438232567742, 0.4976193197482458]",0.41924613207688505,0.5805150464555648,0.7058656390358444,nsga_ii
"[0.6485788628278579, 0.41009181353669183, 0.45222332324240094, 0.5081458208204747, 0.4309740252693409]",0.42229250141828517,0.3171614253262529,0.8575286449928594,nsga_ii
"[0.17557329686475762, 0.7395369446981126, 0.7339309169968307, 0.2972838149287356, 0.36109062236796136]",0.42684536899401554,0.9844163271152612,0.30365323764420804,nsga_ii
"[0.5553842831270679, 0.5347650302475437, 0.5633752077189814, 0.5027961763319558, 0.48735275552211915]",0.4309667847830922,0.48080720485448264,0.7690760341491937,nsga_ii
"[0.48697128890734764, 0.582279631356364, 0.4789478434937352, 0.46340792435925704, 0.540625536783843]",0.44163561821188607,0.5735825300738197,0.694865497617824,nsga_ii
"[0.6725890151482787, 0.2923716219383081, 0.4673173408748843, 0.439048207340004, 0.5458372366080346]",0.44398589835993435,0.2195611571101993,0.8766330323061027,nsga_ii
"[0.5822609556278047, 0.47051583906452493, 0.5675025945406517, 0.5123022279116646, 0.5037737437331394]",0.45304312958012904,0.41290905695976815,0.796068279050051,nsga_ii
"[0.5138289635716463, 0.5460294902612768, 0.5179275573982409, 0.45028997054196984, 0.5602749117764079]",0.4553240897612067,0.5264319020131463,0.7269400334109096,nsga_ii
"[0.6141403987991666, 0.39003225049306905, 0.4818911851751829, 0.38112734060134534, 0.522613716173918]",0.473037414648099,0.33249206478468074,0.8341755028912442,nsga_ii
"[0.5379157700092345, 0.49617518423618684, 0.48885665249098764, 0.4937881349553644, 0.400820892192471]",0.47688476712689715,0.47118866718542035,0.7554208480772217,nsga_ii
"[0.35884955220563497, 0.6171931081186018, 0.4763012441438689, 0.4970446647146016, 0.48908765600986354]",0.47853374050367786,0.6975058630872143,0.5346684898759393,nsga_ii
"[0.33203816236162953, 0.6110805545006318, 0.5311221832762608, 0.44729883149073496, 0.4602851518835296]",0.4999958028270955,0.7139950669559855,0.5008893330659127,nsga_ii
"[0.44862228302743506, 0.5446902739645658, 0.5208091232168238, 0.4519884581728428, 0.44524045461632866]",0.5024359576819412,0.5784374162644289,0.6515171871602035,nsga_ii
"[0.05628148501993631, 0.6573800337250214, 0.5344808048644837, 0.43594019415240337, 0.4191506665226268]",0.5166173531504883,0.865403899144271,0.08933605337796541,nsga_ii
"[0.5864853542537344, 0.30347669038606573, 0.5773172426960584, 0.3908119213183545, 0.5198973438043948]",0.5472284245958364,0.2826017247219976,0.8109277711418332,nsga_ii
"[0.37270365428389224, 0.5523093842847481, 0.5794520525393159, 0.433458045439873, 0.5813180699702855]",0.5483448424582267,0.6467655363493461,0.5621561901996734,nsga_ii
"[0.3985377391821645, 0.5350713797288235, 0.43896776940408005, 0.39431517978222574, 0.47671902352652695]",0.5489385700464047,0.6130154459242692,0.5949699343084205,nsga_ii
"[0.49798534885403123, 0.43817490255936387, 0.49514655439796856, 0.5655229131895665, 0.48205139103456573]",0.5503920581451841,0.4526724172377225,0.7081353728352316,nsga_ii
"[0.43885314514891594, 0.4655793195285673, 0.4918262300435087, 0.5025032760400212, 0.4810319859558029]",0.5745850392017037,0.5155843870643394,0.6363102111682698,nsga_ii
"[0.4808467156617001, 0.41464757498365185, 0.5233138434387978, 0.5283307711041808, 0.5753431841226139]",0.583075895490355,0.44447888619060194,0.6903302583509895,nsga_ii
"[0.4694942336291568, 0.4340418715301265, 0.42173628697827165, 0.457680396833069, 0.5839012549888565]",0.5832928209459751,0.47341707455666543,0.6824811969742594,nsga_ii
"[0.4724044643214562, 0.4217058416628911, 0.4011567349977766, 0.4846022779869313, 0.5519392459028643]",0.5885819245790224,0.45908225077831666,0.684387133463841,nsga_ii
"[0.28521096148465264, 0.539509388560986, 0.4584830189038898, 0.5528290587934085, 0.5890844681574123]",0.6039965661982938,0.6840362158592914,0.4385645270906026,nsga_ii
"[0.24822909576373026, 0.5521306814523466, 0.4532632111271692, 0.3854938442912867, 0.5095769348700255]",0.6075506088885546,0.716190294372883,0.38596102259975434,nsga_ii
"[0.46699437035287894, 0.3834653818563162, 0.4716143983597656, 0.4813234227586293, 0.6725449926445719]",0.6310030895183315,0.43386914271853855,0.6902186384026758,nsga_ii
"[0.36677793348102744, 0.4624368227994199, 0.4627923874268482, 0.4337578520180828, 0.4672467652530339]",0.631188582540138,0.5607760489695756,0.5485147755120989,nsga_ii
"[0.03196025016264664, 0.5649026169605366, 0.5949400967480665, 0.3620094772290347, 0.43719125182680646]",0.6508574104694883,0.7992036937904716,0.051787777953524496,nsga_ii
"[0.5808947467131353, 0.022070883010208153, 0.6012712713764148, 0.23989397401152457, 0.5845597090112564]",0.6634372034457481,0.023009832301023794,0.8583005177032015,nsga_ii
"[0.4332557228942455, 0.30927460632568793, 0.454574100463922, 0.40101717103893286, 0.4362379890248377]",0.698243014397023,0.3686826069555766,0.6392471367219115,nsga_ii
"[0.34223663651335057, 0.38269166453067144, 0.49630658722854176, 0.4303975782113172, 0.39024407894571933]",0.7203464753935178,0.4940121383207228,0.520718470930013,nsga_ii
"[0.5011926253823168, 0.019940596287159648, 0.4693460342225785, 0.4685005757683904, 0.6578777363790086]",0.7243807144238734,0.022696921705183927,0.7274567070652384,nsga_ii
"[0.18527011870608123, 0.4622576239031745, 0.6500100611235916, 0.41732944373894865, 0.48060524758479056]",0.7376031450099181,0.6549480697227625,0.2954567915505736,nsga_ii
"[0.24370768101294898, 0.42281184976321173, 0.5589433565671611, 0.45763502167788306, 0.4046050585510562]",0.7409386873728241,0.5799906828877718,0.3789007222350886,nsga_ii
"[0.2990094073899169, 0.35030339586389225, 0.5496478490417624, 0.46287533516314106, 0.42470198313846813]",0.7673178840629434,0.470716157221657,0.45690911806185347,nsga_ii
"[0.035942273796742086, 0.46559801813246016, 0.5426446347075766, 0.2865412521282844, 0.5908332605690108]",0.7844216270073077,0.7039157205601062,0.05956731201219743,nsga_ii
"[0.3633809392343678, 0.1830247466171996, 0.5773870677587082, 0.44751072326366637, 0.41500530744784137]",0.819819266459719,0.24240933591286587,0.5489307979849195,nsga_ii
"[0.36313435245551545, 0.17755482834125913, 0.5671771550886553, 0.4601671629833336, 0.5993161782437902]",0.8220722094000316,0.23541387600449726,0.5485969993045233,nsga_ii
"[0.3358856258259165, 0.09476432056813511, 0.5517287807335141, 0.33677981326241624, 0.4203250992322289]",0.8849332631784376,0.13270877165181252,0.521424060105232,nsga_ii
"[0.20711713881349303, 0.28846904890231784, 0.6566042133734691, 0.4059853569038119, 0.4254559492755684]",0.8850763652915585,0.43095827537031073,0.33207000814203763,nsga_ii
"[0.27343431490938963, 0.056527003478762515, 0.6364066422383567, 0.36275498531922423, 0.4031486039365527]",0.9479909414931545,0.08439631257400591,0.4359233459375014,nsga_ii
"[0.13844377466440633, 0.18738601391271617, 0.770001494400287, 0.5026339452803961, 0.5004540323287138]",1.002581357320464,0.30393371084649323,0.23148734789641748,nsga_ii
"[0.009197051616629648, 0.1014715428660321, 0.6635017691080558, 0.005061583846218687, 0.16080805141749865]",1.3690268944691322,0.22007763333457767,0.02003322900252507,nsga_ii
